code,transcript,region,nafa,natural_area,municipal_status,metropolin,religion,total_pop_2017,jews_and_others,jews,arabs,foundation_year,locality_shape,organizational_belong,coordinates,altitude,planning_comitee,juristiction,year,name,gov_map_link
967,ABU JUWEI'ID,6,62,623,,,3,,,,,,460,,2040057100,,699,10001937,2017,Abu Juway'ad,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=967
472,ABU GHOSH,1,11,111,99,444,2,7332,,,7.2,,280,,2105263482,686,152,10002475,2017,Abu Ghosh,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=472
473,ABU SINAN,2,24,245,99,,2,13694,,,13.7,,270,,2160776284,71,252,10004315,2017,Abu Sinan,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=473
935,ABU SUREIHAN,6,62,623,,,3,,,,,,460,,1865057450,,699,10001937,2017,Abu Surayhan,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=935
958,ABU  ABDUN,6,62,623,,,3,,,,,,460,,1850057900,,699,10001937,2017,Abu 'Abdun,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=958
1042,ABU  AMMAR,6,62,623,,,3,,,,,,460,,1950056700,,699,10001937,2017,Abu 'Ammar,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1042
932,ABU  AMRE,6,62,623,,,3,,,,,,460,,1850057100,,699,10001937,2017,Abu 'Amra,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=932
1342,ABU QUREINAT,6,62,623,68,,2,1569,,,1.6,,450,,1963656105,450,624,10001937,2017,Abu Qureinat,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1342
968,ABU QUREINAT,6,62,623,,,3,,,,,,460,,1970056000,,699,10001937,2017,Abu Kuraynat,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=968
966,ABU RUBEI'A,6,62,623,,,3,,,,,,460,,2050057200,,699,10001937,2017,Abu Rubay'a,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=966
961,ABU RUQAYYEQ,6,62,623,,,3,,,,,,460,,1920056600,,699,10001937,2017,Abu Rukayyek,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=961
1375,ABU TULUL,6,62,623,68,,2,551,,,0.6,,450,,1933456589,388,624,10001937,2017,Abu Tulul                                         ,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1375
652,IBTIN,3,31,311,12,222,2,2759,,,2.8,,290,,2108874076,49,301,10004207,2017,Ibtin,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=652
1275,AVTALYON,2,24,241,56,,1,436,0.4,0.4,,1987,370,10,2331474908,362,205,10004513,2017,Avtalyon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1275
679,AVI'EL,3,32,324,45,,1,812,0.8,0.8,,1949,310,9,1996171533,52,351,10004333,2017,Avi'el,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=679
1115,AVIVIM,2,21,212,2,,1,489,0.5,0.5,,1960,310,1,2444177707,725,209,10004528,2017,Avivim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1115
819,AVIGEDOR,6,61,611,33,143,1,793,0.8,0.8,,1950,310,1,1757362428,63,616,10001821,2017,Avigedor,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=819
175,AVIHAYIL,4,41,411,16,141,1,1383,1.4,1.4,,1932,310,1,1880869527,35,409,10002089,2017,Avihayil,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=175
